CASE_SEQUENCE,WARD,CREATION_MONTH,N_POTHOLES_FILLED_ON_BLOCK,N_DAYS_FOR_COMPLETION,LATITUDE,LONGITUDE
15871,41,2,4.169925001,4.807354922,42.01142183,-87.80927097
15872,19,2,3.584962501,4.807354922,41.73095547,-87.68007506
15873,19,2,6.475733431,4.807354922,41.72999919,-87.68004584
15874,19,2,4.807354922,4.807354922,41.72817287,-87.6799909
15875,19,2,3.906890596,4.807354922,41.72629746,-87.6799354
15876,41,2,0,4.807354922,42.01702715,-87.80721902
15877,41,2,3,4.807354922,42.00980485,-87.81378841
15878,29,2,3.321928095,4.807354922,41.94042095,-87.81308883
15879,36,2,2.807354922,4.807354922,41.92046413,-87.7469814
15880,35,2,4.807354922,4.857980995,41.93018,-87.7172944
15881,19,2,1,4.857980995,41.73104973,-87.682229
15882,21,2,5.169925001,4.857980995,41.73786317,-87.65345529
15883,21,2,4.754887502,4.857980995,41.73762565,-87.65596563
15884,36,2,1,4.857980995,41.92248424,-87.7504819
15885,41,2,1.584962501,4.857980995,41.98483645,-87.81305134
15886,1,2,3.807354922,4.857980995,41.91573399,-87.7020258
15887,41,2,4.906890596,4.857980995,42.01630629,-87.82078834
15888,34,2,4.247927513,4.857980995,41.68362061,-87.65198223
15889,8,2,5.523561956,4.857980995,41.74418831,-87.57963254
15890,41,2,2.807354922,4.857980995,41.98542385,-87.81157695
15891,35,2,0,4.857980995,41.93309307,-87.71707199
15892,2,2,1,4.857980995,41.91136073,-87.67982338
15893,1,2,1.584962501,4.857980995,41.91310725,-87.6956996
15894,8,2,4,4.857980995,41.74815764,-87.56976904
15895,29,2,2.321928095,4.95419631,41.93979541,-87.81323459
15896,19,2,3.169925001,4.906890596,41.69938874,-87.65891336
15897,28,2,4,5,41.87601203,-87.70337468
15898,8,2,0,5,41.74419028,-87.57877902
15899,34,2,6.247927513,5,41.67121665,-87.64397894
15900,34,2,6.459431619,5,41.68489195,-87.64958899
15901,49,2,3.807354922,5,42.0120433,-87.67002815
15902,9,2,3.906890596,5,41.72940828,-87.61666718
15903,35,2,4.321928095,5,41.92980074,-87.71698958
15904,49,2,3.169925001,5,42.01870077,-87.69003572
15905,10,2,5.357552005,5.044394119,41.74020187,-87.55527083
15906,10,2,3.459431619,5.044394119,41.74110737,-87.55319933
15907,29,2,0,5.169925001,41.90229628,-87.77279826
15908,29,2,5,5.129283017,41.88907897,-87.7747974
15909,2,2,2.321928095,5.087462841,41.89956555,-87.68262563
15910,29,2,4.95419631,5.087462841,41.91068386,-87.79859581
15911,1,2,5.321928095,5.087462841,41.915769,-87.7021868
15912,2,2,4.321928095,5.087462841,41.90698101,-87.68016054
15913,2,2,4.321928095,5.087462841,41.90698101,-87.68016054
15914,8,2,4.523561956,5.087462841,41.74419028,-87.57877902
15915,28,2,5.087462841,5.087462841,41.87123367,-87.70323853
15916,19,1,5,5.807354922,41.69935577,-87.66061314
15917,28,2,2,5.392317423,41.87743619,-87.70569912
15918,21,2,5.392317423,5.357552005,41.73950115,-87.65237089
15919,1,2,5.321928095,5.321928095,41.91392525,-87.70212765
15920,21,3,2.807354922,0,41.72694279,-87.65193356
15921,25,3,2,0,41.88159543,-87.65699398
15922,21,3,3.700439718,0,41.72330112,-87.65076135
15923,21,3,2,0,41.72461703,-87.65288046
15924,21,3,4.857980995,0,41.72689356,-87.65557632
15925,36,3,0,0,41.93822963,-87.7967658
15926,21,3,4.392317423,0,41.7250344,-87.6579662
15927,29,3,0,0,41.93746035,-87.81175948
15928,29,3,0,0,41.93627425,-87.8065406
15929,29,3,4.392317423,0,41.93652456,-87.80407767
15930,36,3,4.247927513,0,41.93560669,-87.78965458
15931,21,3,4.087462841,0,41.73390054,-87.66194091
15932,21,3,2.321928095,0,41.73391826,-87.66072548
15933,21,3,1.584962501,0,41.73403258,-87.66679964
15934,21,3,1,0,41.73197497,-87.66674519
15935,10,3,1,0,41.72426434,-87.55264104
15936,19,3,1.584962501,0,41.72035188,-87.67734723
15937,19,3,2.321928095,0,41.71569485,-87.67470024
15938,19,3,3.459431619,0,41.71747634,-87.67717473
15939,19,3,5,0,41.69748828,-87.66286183
15940,6,3,3.584962501,0,41.75995615,-87.62656574
15941,6,3,3.459431619,0,41.74543108,-87.6245271
15942,9,3,5.169925001,0,41.71468876,-87.61548513
15943,21,3,5.087462841,0,41.73747093,-87.66690274
15944,19,3,5.807354922,0,41.70281583,-87.66713841
15945,6,3,4.392317423,0,41.7659046,-87.61037109
15946,14,3,5.044394119,0,41.79624928,-87.77710993
15947,36,3,4.523561956,0,41.92050469,-87.76571161
15948,36,3,1.584962501,0,41.94836862,-87.77854362
15949,9,3,1,0,41.71998304,-87.6142435
15950,9,3,0,0,41.71998711,-87.61395052
